dimension,method,eer,accuracy,auc,delta_eer,shrinkage,weights,eta
32,Raw PCA,10.646653783908686,89.35334621609131,0.9563952190696583,0.0,0.0,N/A,0.0
32,Raw XPCA (Min-Max),16.46102430416156,83.53897569583843,0.9206057269200627,5.814370520252872,0.1,Standard,1.0
32,Gabor + PCA,9.59783312724489,90.4021668727551,0.9638205786493111,0.0,0.0,N/A,0.0
32,Gabor + XPCA (Optimized),9.557686028274262,90.44231397172574,0.9637507097641027,-0.04014709897062829,0.5,Fisher Only,0.05
64,Raw PCA,9.90125597968735,90.09874402031265,0.9605493890795235,0.0,0.0,N/A,0.0
64,Raw XPCA (Min-Max),14.969961048392419,85.03003895160758,0.9332557259842834,5.068705068705068,0.1,Standard,1.0
64,Gabor + PCA,8.53393500452324,91.46606499547676,0.9675195684574047,0.0,0.0,N/A,0.0
64,Gabor + XPCA (Optimized),8.504315367060467,91.49568463293953,0.9674627290210788,-0.02961963746277263,0.5,Fisher Only,0.02
128,Raw PCA,9.433319237240804,90.5666807627592,0.9619342181208861,0.0,0.0,N/A,0.0
128,Raw XPCA (Min-Max),13.59371849567928,86.40628150432073,0.9410541945590364,4.160399258438476,0.1,Standard,1.0
128,Gabor + PCA,8.009524676191344,91.99047532380867,0.9704025203455116,0.0,0.0,N/A,0.0
128,Gabor + XPCA (Optimized),7.953764816509917,92.04623518349008,0.9703350809644269,-0.055759859681426605,0.1,Fisher Only,0.02
256,Raw PCA,9.319925986592652,90.68007401340734,0.9619193605158181,0.0,0.0,N/A,0.0
256,Raw XPCA (Min-Max),12.866520709657964,87.13347929034202,0.9454032276052157,3.5465947230653114,0.1,Standard,1.0
256,Gabor + PCA,7.584143858653664,92.41585614134632,0.9724799794575452,0.0,0.0,N/A,0.0
256,Gabor + XPCA (Optimized),7.606269370975255,92.39373062902474,0.9718674864890601,0.022125512321591323,0.1,Fisher Dominant,0.15
512,Raw PCA,9.256404354443573,90.74359564555643,0.9617795284879481,0.0,0.0,N/A,0.0
512,Raw XPCA (Min-Max),12.457109515933046,87.54289048406696,0.9470418327831891,3.2007051614894735,0.1,Standard,1.0
512,Gabor + PCA,7.043763906509007,92.956236093491,0.974163588550703,0.0,0.0,N/A,0.0
512,Gabor + XPCA (Optimized),6.979617763931491,93.02038223606851,0.9740404466681546,-0.06414614257751605,0.9,Balanced,0.02
