Comparison,t_statistic,p_value,Bonferroni_Threshold,Statistically_Significant,Cohens_d
16 vs 32,24.08177899821998,1.062303854177022e-15,0.005,Yes,5.384849485914667
32 vs 64,16.375971012480253,1.164299444208673e-12,0.005,Yes,3.6617784381471905
64 vs 128,4.775230020380012,0.00013160158177783355,0.005,Yes,1.0677738933767411
128 vs 256,1.4277525737353227,0.16959390621784468,0.005,No,0.31925518099224626
256 vs 512,-2.3493359721260156,0.02977246542672194,0.005,No,-0.5253274935659322
16 vs 512,38.90659116556407,1.3981560002420115e-19,0.005,Yes,8.699778261899404
32 vs 512,19.640752074551564,4.42658987952374e-14,0.005,Yes,4.391805676791731
64 vs 512,4.067285173385374,0.0006570431691484689,0.005,Yes,0.9094726131566713
128 vs 512,0.15018799005384045,0.8821992101213001,0.005,No,0.03358305551644496
256 vs 512,-2.3493359721260156,0.02977246542672194,0.005,No,-0.5253274935659322
