dimension,method,eer,accuracy,auc
32,Raw PCA,10.646653783908686,89.35334621609131,0.9563952154162686
32,Raw XPCA (Min-Max),16.62714407812447,83.37285592187553,0.9198522138413903
32,Gabor + PCA,10.06309339642673,89.93690660357328,0.956771142636152
32,Gabor + XPCA (Min-Max),11.471899707193822,88.52810029280617,0.9516156530497075
32,Gabor + XPCA (Softmax),12.854298148415797,87.1457018515842,0.941378659401495
32,Gabor + XPCA (Residual),10.17086605321899,89.829133946781,0.9568872838934344
64,Raw PCA,9.908482457502064,90.09151754249794,0.9605493788500324
64,Raw XPCA (Min-Max),14.973975758289482,85.02602424171052,0.9331401999578196
64,Gabor + PCA,8.928179516414811,91.07182048358519,0.9618016329567453
64,Gabor + XPCA (Min-Max),11.12601014561799,88.873989854382,0.9547938360868939
64,Gabor + XPCA (Softmax),12.706824471530354,87.29317552846965,0.9422610962171913
64,Gabor + XPCA (Residual),8.992593306318794,91.0074066936812,0.9614654268505981
128,Raw PCA,9.433319237240804,90.5666807627592,0.9619342093527509
128,Raw XPCA (Min-Max),13.579890050478289,86.42010994952172,0.941033285479336
128,Gabor + PCA,8.518322243812442,91.48167775618757,0.9647195689735556
128,Gabor + XPCA (Min-Max),10.733906812338187,89.26609318766181,0.9562701416212681
128,Gabor + XPCA (Softmax),12.610828297102811,87.3891717028972,0.9425361672314507
128,Gabor + XPCA (Residual),8.596207615815459,91.40379238418454,0.9641402166333516
256,Raw PCA,9.320015202368143,90.67998479763186,0.9619193714759869
256,Raw XPCA (Min-Max),12.856617758578542,87.14338224142146,0.9453706159877572
256,Gabor + PCA,8.102755161578688,91.89724483842132,0.9666651063770109
256,Gabor + XPCA (Min-Max),10.56323703382527,89.43676296617473,0.9572606237827608
256,Gabor + XPCA (Softmax),12.61421849657144,87.38578150342856,0.9426762440364278
256,Gabor + XPCA (Residual),8.286272011762206,91.71372798823779,0.965977260785438
512,Raw PCA,9.248285718873955,90.75171428112606,0.9617795146050674
512,Raw XPCA (Min-Max),12.455592847749712,87.54440715225029,0.9469162555510936
512,Gabor + PCA,7.8692774771206135,92.13072252287938,0.967952272275312
512,Gabor + XPCA (Min-Max),10.15445035052878,89.84554964947122,0.9582469819980057
512,Gabor + XPCA (Softmax),12.600657698696915,87.39934230130308,0.9427242042745246
512,Gabor + XPCA (Residual),8.051277659120796,91.94872234087921,0.9671965313596249
