dataset,dimension,accuracy,far,frr,eer,auc
Tongji,16,0.6550808080808082,0.3449191919191919,0.3449191919191919,0.3449191919191919,0.7337559191919192
Tongji,32,0.6612020202020202,0.33879797979797976,0.33879797979797976,0.33879797979797976,0.7416962676767677
Tongji,64,0.6649747474747475,0.3350252525252525,0.3350252525252525,0.3350252525252525,0.7471069494949495
Tongji,128,0.6661666666666667,0.3338333333333333,0.3338333333333333,0.3338333333333333,0.7483252272727273
Tongji,256,0.6646515151515151,0.33534848484848484,0.33534848484848484,0.33534848484848484,0.7476234949494949
Tongji,512,0.663989898989899,0.336010101010101,0.336010101010101,0.336010101010101,0.7470343686868687
IITD,16,0.8853416696553952,0.11465833034460482,0.11465833034460482,0.11465833034460482,0.9558344325250268
IITD,32,0.9017484507680587,0.0982515492319414,0.0982515492319414,0.0982515492319414,0.9632391190339513
IITD,64,0.9081764473921337,0.09182355260786632,0.09182355260786632,0.09182355260786632,0.9666588473898459
IITD,128,0.9114809997162938,0.08851900028370614,0.08851900028370614,0.08851900028370614,0.9679129574185057
IITD,256,0.9115238232885292,0.08847617671147082,0.08847617671147082,0.08847617671147082,0.9679378260419196
IITD,512,0.910028566891312,0.08997143310868799,0.08997143310868799,0.08997143310868799,0.9677370160179172
