component,delta_accuracy,delta_eer
1,0.008346135797116294,0.008346135797116225
2,0.007334428903056356,0.007334428903056356
8,0.0036105624340918574,0.0036105624340918574
5,0.0029075421232285237,0.0029075421232284404
6,0.0027442772540813287,0.0027442772540812177
13,0.0026559536363458536,0.002655953636345826
16,0.0025426496014732125,0.002542649601473171
7,0.0024632475612869076,0.0024632475612868243
4,0.002421316146806407,0.0024213161468063793
10,0.002416855358031933,0.0024168553580318775
23,0.0018030508226587472,0.0018030508226586778
9,0.0017959135606194776,0.0017959135606194498
21,0.0017316782022664956,0.00173167820226644
32,0.0017227566247174364,0.0017227566247174086
34,0.0015835800149526236,0.001583580014952568
49,0.0012151188621777331,0.0012151188621777193
14,0.0011294717177070535,0.0011294717177070535
42,0.0010643442015991766,0.001064344201599135
33,0.0010589912550698077,0.0010589912550697245
22,0.00103757946895211,0.0010375794689520546
35,0.0010357951534423204,0.0010357951534422372
40,0.0010197363138539917,0.0010197363138539917
43,0.001003677474265774,0.0010036774742657462
25,0.0009644225330500689,0.0009644225330500134
27,0.000963530375295174,0.0009635303752951185
41,0.0009367656426481075,0.0009367656426480242
38,0.0009207068030598897,0.0009207068030597787
24,0.0009100009100010409,0.0009100009100009437
12,0.0009064322789813506,0.0009064322789813228
17,0.0009037558057166661,0.0009037558057166245
37,0.0009028636479617713,0.0009028636479617158
20,0.0008323831853244146,0.0008323831853243868
45,0.0008020498216577687,0.0008020498216576993
3,0.0007895596130891303,0.0007895596130890609
39,0.0007467360408537349,0.000746736040853721
15,0.0003336670003337705,0.0003336670003336595
48,0.0003292062115591854,0.00032920621155915764
19,0.0003095787409513884,0.00030957874095129123
44,0.0002979806901376447,0.00029798069013756145
47,0.0002970885323827499,0.00029708853238265276
26,0.00017129428894135934,0.00017129428894135934
18,0.0001552354493531416,0.00015523544935309996
31,0.00014809818731387203,0.00014809818731387203
29,0.00014274524078450312,0.0001427452407844615
46,0.00013560797874534458,0.00013560797874523356
36,0.0001320393477256543,0.00013203934772562653
28,0.00012668640119628538,0.00012668640119620211
30,8.832361773547515e-05,8.832361773539188e-05
50,2.4980417137276945e-05,2.4980417137276945e-05
11,-0.0007217556237163469,-0.0007217556237163747
