component,delta_accuracy,delta_eer
2,0.01491414141414149,0.01491414141414149
4,0.005929292929293006,0.005929292929293006
6,0.003808080808080816,0.003808080808080816
5,0.002020202020202033,0.002020202020202033
8,0.0018282828282828456,0.0018282828282828456
9,0.001035353535353556,0.001035353535353556
18,0.0006868686868687357,0.0006868686868687357
17,0.0006010101010101021,0.0006010101010101021
10,0.0005404040404041188,0.0005404040404041188
15,0.0005050505050505638,0.0005050505050505638
22,0.0003939393939393909,0.00039393939393944644
27,0.00035353535353532806,0.00035353535353538357
24,0.0003484848484849312,0.0003484848484848757
26,0.0003383838383839155,0.0003383838383839155
14,0.0002878787878788369,0.0002878787878788369
30,0.0002777777777778212,0.0002777777777778212
36,0.0002676767676768055,0.0002676767676768055
34,0.0002525252525252819,0.0002525252525252819
38,0.0002424242424242662,0.0002424242424242662
25,0.00023232323232325047,0.00023232323232325047
37,0.0002171717171717269,0.0002171717171717269
32,0.00021212121212121904,0.00021212121212121904
41,0.00020707070707071118,0.00020707070707071118
48,0.00019191919191929863,0.00019191919191924312
49,0.0001717171717172672,0.00017171717171721168
33,0.0001666666666666483,0.00016666666666670382
45,0.0001666666666666483,0.00016666666666670382
20,0.00014141414141422004,0.00014141414141422004
19,0.00010606060606066503,0.00010606060606066503
42,9.595959595964931e-05,9.595959595964931e-05
29,7.070707070711002e-05,7.070707070711002e-05
40,7.070707070711002e-05,7.070707070711002e-05
44,6.565656565660216e-05,6.565656565660216e-05
28,5.0505050505078586e-05,5.0505050505078586e-05
46,4.545454545457073e-05,4.545454545457073e-05
50,4.040404040406287e-05,4.040404040406287e-05
21,3.535353535355501e-05,3.535353535355501e-05
16,-5.050505050396836e-06,-5.0505050504523474e-06
39,-3.030303030304715e-05,-3.030303030299164e-05
23,-3.535353535344399e-05,-3.53535353534995e-05
7,-4.040404040406287e-05,-4.040404040400736e-05
47,-9.090909090903043e-05,-9.090909090903043e-05
43,-0.00031818181818177305,-0.00031818181818177305
35,-0.00032828282828278876,-0.00032828282828278876
3,-0.000641414141414165,-0.0006414141414141095
13,-0.0012525252525252828,-0.0012525252525252273
31,-0.001383838383838376,-0.001383838383838376
12,-0.0019646464646464468,-0.0019646464646464468
11,-0.0021969696969696972,-0.0021969696969696972
1,-0.23523737373737363,-0.2352373737373737
