pc,mean,variance,grad_energy,lap_energy,interpretation
1,0.007414802,6.0558414e-06,2476.0140380859375,49.92224669456482,Global illumination variation
2,-0.0015598463,5.8602018e-05,2655.951416015625,16.386699303984642,Large-scale palm line structures
3,0.0005325256,6.075155e-05,1127.8382568359375,14.065198361873627,Large-scale palm line structures
4,-0.00028630323,6.0953174e-05,2158.505859375,29.793333634734154,Large-scale palm line structures
5,-0.0009552445,6.012265e-05,2681.5797119140625,33.50332795083523,Large-scale palm line structures
6,0.0001635163,6.1008424e-05,4425.3509521484375,34.412277445197105,Large-scale palm line structures
7,-0.0003993631,6.087561e-05,3511.414306640625,39.092213571071625,Large-scale palm line structures
8,-0.0007266013,6.050724e-05,3376.3682861328125,37.949540853500366,Large-scale palm line structures
9,0.00023337064,6.0980718e-05,4283.8580322265625,55.031963374465704,Noise-like component
10,-0.0002669068,6.0963986e-05,3292.384033203125,49.386977195739746,Noise-like component
11,0.0003637417,6.0902876e-05,5035.2291259765625,58.56788192689419,Noise-like component
12,-0.0002813353,6.0956005e-05,3767.413330078125,56.46066056191921,Noise-like component
13,-6.510489e-05,6.1030933e-05,5051.36328125,59.62330621480942,Noise-like component
14,-0.00012060453,6.1020604e-05,3432.60595703125,68.24510860443115,Noise-like component
15,-7.085352e-05,6.1030143e-05,4876.4761962890625,62.309041645377874,Noise-like component
16,-0.00012608655,6.101928e-05,4504.8077392578125,66.3286661170423,Noise-like component
17,0.00012740598,6.1018945e-05,6013.1568603515625,84.69865840673447,Noise-like component
18,-4.0670377e-05,6.103351e-05,6492.0382080078125,102.16043609380722,Noise-like component
19,0.00026690407,6.0963914e-05,5682.1175537109375,78.62212165817618,Noise-like component
20,-0.000205418,6.0992905e-05,4601.38427734375,77.37646397575736,Noise-like component
21,-0.00026440126,6.0965238e-05,5479.1563720703125,85.37139938771725,Noise-like component
22,-0.00042965633,6.0850532e-05,5714.279052734375,97.78360589966178,Noise-like component
23,0.00025491053,6.0970156e-05,4115.54931640625,79.01257191598415,Noise-like component
24,0.00016009726,6.100954e-05,6430.1505126953125,94.56238543614745,Noise-like component
25,-0.00017870154,6.100322e-05,5179.3184814453125,79.20128463208675,Noise-like component
26,-8.272164e-05,6.102831e-05,6261.9876708984375,121.70972096547484,Noise-like component
27,2.8517388e-06,6.103517e-05,9158.260864257812,146.1386300176382,Noise-like component
28,0.00012238984,6.1020175e-05,6152.754150390625,99.6987413726747,Noise-like component
29,0.0002600992,6.096751e-05,8412.873413085938,119.32990315183997,Noise-like component
30,4.024827e-05,6.103354e-05,7091.979736328125,106.63331597670913,Noise-like component
31,1.4997087e-05,6.1034905e-05,7921.8037109375,129.91076622903347,Noise-like component
32,0.00013092851,6.1018025e-05,10041.192504882812,169.97586473450065,Noise-like component
33,-3.6375422e-06,6.103514e-05,9147.28564453125,155.50363813340664,Noise-like component
34,-0.0001772584,6.1003764e-05,6708.277099609375,131.27562318742275,Noise-like component
35,-4.745816e-05,6.103287e-05,7982.932861328125,130.08505433797836,Noise-like component
36,-0.00012138409,6.1020426e-05,7033.462158203125,151.48091652616858,Noise-like component
37,-6.429018e-05,6.103106e-05,7096.875,122.05582731589675,Noise-like component
38,-1.6387901e-05,6.1034887e-05,5876.922607421875,120.59164875373244,Noise-like component
39,0.00018799574,6.0999828e-05,8049.3519287109375,159.11736673116684,Noise-like component
40,7.2688985e-05,6.1029867e-05,11311.769165039062,218.05878483876586,Noise-like component
41,-0.00018011726,6.1002735e-05,6669.3258056640625,150.0237107127905,Noise-like component
42,-5.977886e-05,6.10316e-05,6924.8929443359375,143.55022996291518,Noise-like component
43,-5.1624083e-05,6.103254e-05,8973.869750976562,196.2881283722818,Noise-like component
44,-4.296632e-05,6.1033326e-05,9533.971069335938,165.36782887205482,Noise-like component
45,-7.173562e-05,6.103005e-05,7456.0770263671875,148.94972644746304,Noise-like component
46,-0.00012422883,6.1019764e-05,8250.568969726562,176.41663163900375,Noise-like component
47,0.00021071325,6.099076e-05,4073.3016357421875,96.48921137675643,Noise-like component
48,3.6064033e-05,6.1033905e-05,8635.682739257812,181.3889138698578,Noise-like component
49,-1.4166486e-05,6.1035018e-05,8763.036010742188,205.33832907676697,Noise-like component
50,-5.8418285e-05,6.1031755e-05,7441.7318115234375,150.6881096214056,Noise-like component
