pc,mean,variance,grad_energy,lap_energy,interpretation
1,0.0077327164,1.2402438e-06,844.278564453125,12.445730205625296,Global illumination variation
2,0.0006111085,6.0661743e-05,742.3929443359375,11.18152716383338,Large-scale palm line structures
3,-0.0004951154,6.0790033e-05,650.1514892578125,7.520415928214788,Large-scale palm line structures
4,0.0005251292,6.075939e-05,967.3004150390625,10.438775982707739,Large-scale palm line structures
5,0.00019722599,6.099628e-05,2329.49560546875,28.42789539322257,Large-scale palm line structures
6,-0.00026809843,6.0963306e-05,1455.650390625,19.92808049917221,Large-scale palm line structures
7,8.760492e-05,6.1027487e-05,3190.840576171875,44.0891003459692,Noise-like component
8,8.189028e-05,6.1028415e-05,2192.24169921875,34.20670519769192,Noise-like component
9,-2.7836068e-06,6.103514e-05,2739.67626953125,37.297713335603476,Noise-like component
10,-4.3085834e-05,6.103329e-05,3226.5029296875,48.216678973287344,Noise-like component
11,1.0673626e-05,6.1035043e-05,4018.595458984375,55.344783172011375,Noise-like component
12,-1.4410762e-05,6.1034967e-05,3604.1846923828125,57.94542598724365,Noise-like component
13,0.00011626893,6.102165e-05,3401.349853515625,39.42718234285712,Noise-like component
14,-0.00012687777,6.101907e-05,5020.4368896484375,69.20117735862732,Noise-like component
15,2.2427412e-05,6.1034694e-05,3908.180908203125,66.87793897092342,Noise-like component
16,-9.2374175e-05,6.102668e-05,5252.990966796875,87.73206387460232,Noise-like component
17,-2.5345245e-05,6.1034534e-05,3344.1553955078125,46.961362823843956,Noise-like component
18,0.0001641465,6.1008213e-05,5191.732421875,95.34014784917235,Noise-like component
19,0.00018140429,6.100226e-05,6057.711181640625,85.15456461533904,Noise-like component
20,0.00011136868,6.102274e-05,7154.9693603515625,109.72998581826687,Noise-like component
21,1.2117132e-05,6.1034996e-05,5980.4114990234375,97.77100377902389,Noise-like component
22,3.2333424e-05,6.1034134e-05,6027.0823974609375,102.46920102834702,Noise-like component
23,5.5809505e-07,6.1035185e-05,5924.7218017578125,102.25532573089004,Noise-like component
24,-2.34365e-05,6.1034625e-05,5470.270751953125,102.15153861045837,Noise-like component
25,-5.018874e-05,6.103264e-05,8142.9058837890625,141.73072212561965,Noise-like component
26,1.9165695e-05,6.1034807e-05,7415.8238525390625,122.79333060979843,Noise-like component
27,3.1021482e-06,6.103517e-05,7055.1903076171875,130.26719292625785,Noise-like component
28,5.3108728e-05,6.1032322e-05,7399.352783203125,130.91474901139736,Noise-like component
29,-8.2147017e-07,6.103516e-05,7606.1441650390625,134.8949449621141,Noise-like component
30,3.7988633e-05,6.103373e-05,8292.425537109375,148.18576084077358,Noise-like component
31,8.15955e-06,6.103505e-05,7390.9046630859375,150.84075832366943,Noise-like component
32,1.9595216e-05,6.1034778e-05,6953.94384765625,127.7650472484529,Noise-like component
33,3.8232094e-05,6.1033687e-05,9465.485961914062,186.95593224465847,Noise-like component
34,2.2110056e-05,6.103469e-05,6888.046875,135.58286407217383,Noise-like component
35,2.5557936e-05,6.10345e-05,8251.7724609375,171.89106760919094,Noise-like component
36,-6.3305226e-05,6.1031154e-05,6811.9501953125,140.46428057178855,Noise-like component
37,8.432209e-05,6.1028037e-05,8209.489501953125,151.4384747594595,Noise-like component
38,-1.3353856e-06,6.1035153e-05,8190.233154296875,161.956061180681,Noise-like component
39,1.2098986e-05,6.103503e-05,8284.091674804688,161.2023268789053,Noise-like component
40,-1.2119781e-05,6.1035003e-05,10535.432495117188,219.53108554705977,Noise-like component
41,-1.7137521e-05,6.1034887e-05,7657.121337890625,170.31260681152344,Noise-like component
42,1.902102e-05,6.1034807e-05,7862.093017578125,161.71900301799178,Noise-like component
43,7.6599565e-05,6.1029274e-05,7924.032470703125,170.29098111018538,Noise-like component
44,-1.3182143e-05,6.1034963e-05,8735.457397460938,182.40014217793941,Noise-like component
45,-2.6164467e-05,6.1034472e-05,11909.7470703125,276.94233344495296,Noise-like component
46,-1.5276892e-05,6.103492e-05,9094.580932617188,180.21968239173293,Noise-like component
47,5.28027e-05,6.1032348e-05,10899.221435546875,257.66283893212676,Noise-like component
48,-2.7862108e-05,6.1034378e-05,6490.0516357421875,148.20348785817623,Noise-like component
49,2.3675966e-05,6.103456e-05,12276.393310546875,286.9075283072889,Noise-like component
50,-2.9381787e-05,6.103431e-05,12259.074462890625,284.617262840271,Noise-like component
