component,eigenvalue,explained_variance_ratio,cumulative_variance
1,38.854584,0.11782929,0.11782929
2,29.478838,0.08939668,0.20722598
3,16.274988,0.04935506,0.25658104
4,14.895906,0.045172896,0.30175394
5,12.293691,0.037281495,0.33903542
6,8.425279,0.025550257,0.36458567
7,7.5319653,0.02284122,0.38742688
8,7.270449,0.022048155,0.40947503
9,5.523621,0.016750775,0.4262258
10,4.8745046,0.0147822825,0.4410081
11,4.5301323,0.013737949,0.45474604
12,4.1844444,0.012689626,0.46743566
13,3.9654677,0.012025563,0.47946122
14,3.4981422,0.010608366,0.4900696
15,3.2778242,0.009940235,0.50000983
16,3.0937989,0.009382166,0.509392
17,2.7957864,0.008478422,0.5178704
18,2.718836,0.008245064,0.5261155
19,2.5908675,0.00785699,0.53397244
20,2.4306264,0.007371048,0.5413435
21,2.2945035,0.0069582453,0.54830176
22,2.191656,0.0066463533,0.5549481
23,2.1517496,0.006525334,0.5614734
24,2.1173198,0.0064209234,0.56789434
25,2.0450451,0.006201745,0.5740961
26,1.9176391,0.0058153775,0.5799115
27,1.8832804,0.005711182,0.58562267
28,1.8446796,0.005594122,0.5912168
29,1.7754194,0.0053840857,0.5966009
30,1.6779165,0.0050884015,0.6016893
31,1.6428843,0.0049821637,0.60667145
32,1.592657,0.004829846,0.6115013
33,1.5453287,0.0046863197,0.6161876
34,1.5036272,0.0045598564,0.62074745
35,1.4342507,0.0043494673,0.6250969
36,1.3771532,0.004176315,0.62927324
37,1.3674982,0.0041470355,0.6334203
38,1.3398429,0.004063169,0.6374835
39,1.2848972,0.0038965424,0.64138
40,1.2536838,0.0038018855,0.6451819
41,1.2022299,0.0036458478,0.64882773
42,1.1857902,0.0035959932,0.65242374
43,1.1568882,0.0035083462,0.65593207
44,1.1123537,0.0033732918,0.65930533
45,1.0970801,0.0033269736,0.6626323
46,1.0689638,0.0032417087,0.665874
47,1.0481939,0.0031787227,0.6690527
48,1.0111903,0.0030665067,0.6721192
49,1.0075736,0.0030555387,0.6751747
50,0.97833806,0.0029668799,0.6781416
51,0.9651963,0.0029270267,0.6810686
52,0.95228785,0.002887881,0.6839565
53,0.921602,0.0027948238,0.6867513
54,0.8943147,0.002712073,0.6894634
55,0.8915125,0.0027035752,0.6921669
56,0.85872966,0.0026041588,0.6947711
57,0.85466164,0.0025918223,0.69736296
58,0.8318316,0.0025225885,0.69988555
59,0.82554543,0.0025035255,0.70238906
60,0.80606216,0.002444441,0.7048335
61,0.7999842,0.0024260092,0.70725954
62,0.77035785,0.0023361652,0.7095957
63,0.761837,0.002310325,0.711906
64,0.75736284,0.0022967567,0.71420276
65,0.7438485,0.0022557736,0.71645856
66,0.7323352,0.0022208588,0.7186794
67,0.7218321,0.0021890074,0.7208684
68,0.71736044,0.0021754466,0.72304386
