component,eigenvalue,explained_variance_ratio,cumulative_variance
1,173.42096,0.8148908,0.8148908
2,8.525234,0.040059373,0.8549502
3,6.050944,0.028432885,0.8833831
4,3.132727,0.014720425,0.89810354
5,2.1613162,0.010155846,0.9082594
6,1.7960399,0.008439443,0.9166988
7,1.1808252,0.0055486006,0.9222474
8,1.0648786,0.0050037764,0.92725116
9,0.93043464,0.0043720356,0.9316232
10,0.75508046,0.0035480608,0.9351713
11,0.69166756,0.0032500888,0.93842137
12,0.5840217,0.0027442698,0.9411656
13,0.5600385,0.0026315746,0.9437972
14,0.47505587,0.0022322484,0.9460294
15,0.4205329,0.0019760495,0.9480055
16,0.39928615,0.0018762127,0.94988173
17,0.38870978,0.0018265152,0.95170826
18,0.37185144,0.0017472992,0.95345557
19,0.3513896,0.0016511506,0.95510674
20,0.28809953,0.001353756,0.9564605
21,0.28091806,0.0013200107,0.9577805
22,0.255125,0.0011988112,0.9589793
23,0.24085042,0.0011317362,0.960111
24,0.22695369,0.0010664366,0.96117747
25,0.2152326,0.0010113602,0.96218884
26,0.20748527,0.0009749562,0.9631638
27,0.20496483,0.00096311286,0.9641269
28,0.18028647,0.0008471512,0.96497405
29,0.17729515,0.0008330953,0.96580714
30,0.16412243,0.0007711978,0.96657836
31,0.16229172,0.0007625954,0.96734095
32,0.15930693,0.00074857014,0.9680895
33,0.15234031,0.00071583455,0.9688054
34,0.14697617,0.0006906289,0.969496
35,0.1450139,0.00068140833,0.9701774
36,0.13951284,0.0006555593,0.97083294
37,0.1390772,0.0006535123,0.97148645
38,0.1342916,0.0006310252,0.9721175
39,0.12645759,0.0005942138,0.9727117
40,0.120303564,0.0005652965,0.973277
41,0.118158214,0.0005552157,0.9738322
42,0.113901146,0.0005352121,0.9743674
43,0.10828101,0.0005088035,0.97487617
44,0.10326223,0.0004852207,0.9753614
45,0.10122455,0.0004756458,0.97583705
46,0.09853135,0.0004629907,0.97630006
47,0.09666032,0.0004541989,0.97675425
48,0.09321499,0.00043800953,0.9771923
49,0.09042512,0.00042490018,0.9776172
50,0.08736751,0.00041053272,0.97802776
51,0.08562692,0.00040235385,0.9784301
52,0.08010384,0.00037640132,0.9788065
53,0.075782776,0.000356097,0.9791626
54,0.07509356,0.00035285845,0.97951543
55,0.07296725,0.0003428671,0.9798583
56,0.07097867,0.0003335229,0.9801918
57,0.068169065,0.0003203208,0.98051214
58,0.06713127,0.0003154443,0.98082757
59,0.065489724,0.0003077308,0.9811353
60,0.06419298,0.0003016375,0.98143697
61,0.06268613,0.00029455696,0.98173153
62,0.060950767,0.00028640262,0.98201793
63,0.059914097,0.0002815314,0.98229945
64,0.059459344,0.00027939456,0.9825788
65,0.056945525,0.00026758233,0.9828464
66,0.05553125,0.00026093677,0.9831073
67,0.055083912,0.00025883477,0.9833662
68,0.052844062,0.0002483099,0.9836145
69,0.051403504,0.00024154082,0.983856
70,0.049889788,0.000234428,0.98409045
71,0.048485313,0.00022782848,0.98431826
72,0.048012305,0.00022560587,0.98454386
73,0.047192752,0.00022175485,0.9847656
74,0.04578289,0.00021513003,0.9849807
75,0.04486022,0.00021079447,0.9851915
76,0.044251546,0.00020793437,0.9853995
77,0.042305745,0.00019879121,0.98559827
78,0.040825404,0.0001918352,0.9857901
79,0.03954912,0.00018583806,0.9859759
80,0.03900412,0.00018327715,0.9861592
81,0.0379564,0.000178354,0.98633754
82,0.03711888,0.00017441854,0.98651195
83,0.036088213,0.00016957553,0.9866815
84,0.03555967,0.00016709196,0.9868486
85,0.034164727,0.00016053724,0.9870091
86,0.033623382,0.0001579935,0.9871671
87,0.03238806,0.00015218883,0.9873193
88,0.032119814,0.00015092836,0.9874702
89,0.031716365,0.00014903258,0.9876192
90,0.030841427,0.00014492132,0.9877641
91,0.030451814,0.00014309055,0.98790723
92,0.029531194,0.00013876465,0.988046
93,0.028830655,0.00013547287,0.9881815
94,0.028392792,0.0001334154,0.98831487
95,0.027964864,0.0001314046,0.9884463
96,0.027753973,0.00013041364,0.9885767
97,0.027162727,0.00012763542,0.9887043
98,0.02710655,0.00012737144,0.9888317
99,0.02602736,0.00012230042,0.988954
100,0.025325714,0.00011900344,0.98907304
101,0.0243834,0.00011457558,0.9891876
102,0.024208458,0.00011375355,0.9893013
103,0.02365412,0.00011114876,0.9894125
104,0.023114331,0.00010861234,0.9895211
105,0.022546716,0.00010594516,0.989627
106,0.022136386,0.000104017054,0.989731
107,0.02173251,0.000102119266,0.9898331
108,0.020950899,9.8446544e-05,0.9899316
109,0.020810038,9.778465e-05,0.9900294
110,0.020078517,9.43473e-05,0.99012375
111,0.019912692,9.3568095e-05,0.9902173
112,0.019290635,9.06451e-05,0.990308
113,0.018859006,8.8616915e-05,0.9903966
114,0.018224942,8.56375e-05,0.9904823
115,0.017918387,8.4197025e-05,0.9905665
116,0.017681736,8.308502e-05,0.9906496
117,0.017241796,8.101778e-05,0.9907306
118,0.016917277,7.949289e-05,0.9908101
119,0.016516263,7.760856e-05,0.9908877
120,0.0163851,7.699223e-05,0.9909647
121,0.016148753,7.588166e-05,0.9910406
122,0.016019369,7.527369e-05,0.99111587
123,0.015634533,7.346538e-05,0.99118936
124,0.015224078,7.1536684e-05,0.9912609
125,0.015012289,7.054151e-05,0.9913314
126,0.014917459,7.009591e-05,0.9914015
127,0.014822145,6.9648035e-05,0.9914712
128,0.014445437,6.787792e-05,0.99153906
129,0.014212221,6.678206e-05,0.9916058
130,0.014111744,6.630992e-05,0.9916721
131,0.0138063,6.4874665e-05,0.99173695
132,0.013699014,6.4370535e-05,0.9918013
133,0.013471015,6.329919e-05,0.9918646
134,0.013200635,6.2028696e-05,0.99192667
135,0.013139102,6.1739556e-05,0.9919884
136,0.01289667,6.060039e-05,0.99204904
137,0.012747182,5.9897953e-05,0.99210894
138,0.012545286,5.8949263e-05,0.9921679
139,0.012357199,5.8065456e-05,0.99222594
140,0.012263269,5.762409e-05,0.9922836
141,0.012140024,5.7044974e-05,0.9923406
142,0.011786104,5.538193e-05,0.992396
143,0.011731629,5.5125958e-05,0.99245113
144,0.011615753,5.4581466e-05,0.9925057
145,0.011374323,5.3447005e-05,0.9925592
146,0.011226808,5.2753843e-05,0.99261194
147,0.01112465,5.2273812e-05,0.9926642
148,0.0110441595,5.1895593e-05,0.99271613
149,0.010925937,5.1340077e-05,0.99276745
150,0.010667585,5.0126102e-05,0.9928176
151,0.0106089255,4.9850467e-05,0.9928674
152,0.010491701,4.9299637e-05,0.9929167
153,0.010366405,4.8710885e-05,0.9929654
154,0.010159859,4.774034e-05,0.99301314
155,0.010096969,4.7444824e-05,0.9930606
156,0.00995042,4.6756202e-05,0.9931073
157,0.009892193,4.6482597e-05,0.9931538
158,0.00976199,4.5870787e-05,0.9931997
159,0.009731777,4.572882e-05,0.9932454
160,0.009595312,4.508758e-05,0.9932905
161,0.009502134,4.4649747e-05,0.9933351
