Experiment,k,Accuracy,EER,AUC
PC1-16,16,0.8794132813740656,0.12058671862593434,0.9471261603233148
PC1-32,32,0.8935334621609131,0.10646653783908686,0.9563952439127078
PC1-64,64,0.9007724301841948,0.0992275698158051,0.9605493927329132
PC1-128,128,0.905666807627592,0.09433319237240803,0.9619342173902081
PC1-256,256,0.9067998479763186,0.09320015202368143,0.9619193736680207
PC1-512,512,0.9073538779421132,0.09264612205788678,0.9617795241038806
Top-16 Fisher PCs,16,0.8755029539343264,0.12449704606567352,0.9464162994056524
Top-32 Fisher PCs,32,0.89351651116357,0.10648348883643001,0.956101056902393
Top-64 Fisher PCs,64,0.9008857342190676,0.09911426578093244,0.960435997363299
Top-128 Fisher PCs,128,0.9048692185947088,0.09513078140529121,0.9619582939587434
Top-256 Fisher PCs,256,0.9065928673771811,0.0934071326228189,0.9619499233123552
Top-512 Fisher PCs,512,0.9075224957577899,0.09247750424221016,0.9617795248345585
PC1-128 (Remove Top-5 Fisher),123,0.8968192791722204,0.10318072082777963,0.9494015980823645
PC1-128 (Remove Bottom-50 Fisher),128,0.905666807627592,0.09433319237240803,0.9619342173902081
