PC_Index,Explained_Variance,Variance_Ratio,Fisher_Score,Fisher_Rank
1,29.886951,0.10194905,3.1672869,2
2,16.406021,0.055963494,2.3234756,10
3,14.934786,0.050944883,2.7477531,5
4,12.733026,0.043434337,1.9624828,20
5,8.445741,0.028809737,3.2269518,1
6,7.7483635,0.026430875,2.783541,4
7,7.429332,0.025342608,2.7891471,3
8,5.5557256,0.018951446,2.617089,6
9,4.9248548,0.016799448,1.9054625,28
10,4.603966,0.015704846,2.046606,16
11,4.2222943,0.014402905,2.2837312,12
12,3.9674587,0.01353362,1.8612622,32
13,3.5076835,0.011965255,2.4821594,7
14,3.2815762,0.011193967,2.3545086,9
15,3.1069407,0.010598259,2.3216398,11
16,2.8180494,0.009612806,1.8661872,31
17,2.721996,0.009285153,2.3998415,8
18,2.6721904,0.009115258,2.0856178,14
19,2.4787152,0.008455284,2.1540806,13
20,2.3678536,0.008077118,2.0292976,17
21,2.2575054,0.007700703,1.9304875,23
22,2.1607318,0.007370593,1.6395319,44
23,2.121407,0.00723645,1.8372246,33
24,2.0529993,0.0070031006,1.9112369,27
25,1.9204925,0.0065510995,2.0285757,18
26,1.8832868,0.006424185,1.9158572,26
27,1.8528136,0.006320236,1.895586,29
28,1.8001474,0.0061405837,2.0627606,15
29,1.6785475,0.005725787,1.625313,46
30,1.642991,0.005604498,1.6809831,39
31,1.6008939,0.0054608984,1.9246768,24
32,1.5453364,0.005271383,1.9703594,19
33,1.5179979,0.0051781274,1.6374955,45
34,1.4353766,0.0048962934,1.8831651,30
35,1.3862073,0.004728569,1.6635582,43
36,1.3687176,0.004668909,1.9193352,25
37,1.3399937,0.0045709275,1.668282,41
38,1.3038534,0.0044476474,1.7339796,35
39,1.2557502,0.0042835595,1.6878762,38
40,1.216347,0.004149149,1.9440186,21
41,1.1866742,0.0040479307,1.4440314,58
42,1.157933,0.00394989,1.5155144,53
43,1.1137514,0.0037991796,1.5956587,49
44,1.1008674,0.0037552302,1.3548874,69
45,1.0804179,0.0036854737,1.3203113,76
46,1.0593492,0.0036136052,1.3480184,73
47,1.0115721,0.0034506302,1.6104581,48
48,1.0076287,0.0034371784,1.6753651,40
49,0.97961587,0.0033416224,1.725223,36
50,0.96527797,0.0032927135,1.9393991,22
51,0.9531157,0.0032512262,1.6659477,42
52,0.92476416,0.0031545146,1.5570292,50
53,0.8951348,0.0030534444,1.492184,55
54,0.89204895,0.003042918,1.8202571,34
55,0.860636,0.0029357634,1.2457459,86
56,0.85561633,0.0029186406,1.3665836,67
57,0.834846,0.00284779,1.5206381,52
58,0.8257989,0.0028169288,1.6159102,47
59,0.80608135,0.0027496691,1.505194,54
60,0.79999775,0.002728917,1.4477186,57
61,0.7725097,0.002635151,1.7225902,37
62,0.76831055,0.002620827,1.441127,59
63,0.76101255,0.0025959325,1.3158176,78
64,0.74480426,0.0025406433,1.403772,63
65,0.73600984,0.0025106443,1.3865062,64
66,0.72183746,0.0024623,1.3832061,65
67,0.71736586,0.0024470468,1.3456064,75
68,0.70098525,0.00239117,1.3098118,81
69,0.681831,0.002325832,1.5353342,51
70,0.6766103,0.0023080232,1.3054079,82
71,0.66006416,0.0022515818,1.310319,80
72,0.65000534,0.0022172695,1.1661968,96
73,0.6365624,0.0021714135,1.3505312,71
74,0.6265972,0.0021374207,1.1516477,99
75,0.6199605,0.0021147819,1.4572128,56
76,0.6165458,0.0021031338,1.3812292,66
77,0.60205704,0.0020537104,1.3511807,70
78,0.59531236,0.0020307032,1.4218651,61
79,0.5816328,0.00198404,1.3189386,77
80,0.5728855,0.0019542018,1.2915702,83
81,0.56412184,0.0019243076,1.2483222,85
82,0.5558377,0.001896049,1.2159115,89
83,0.5527948,0.0018856693,1.3461624,74
84,0.5348128,0.0018243298,1.4227914,60
85,0.53025633,0.001808787,1.1231694,100
86,0.52426153,0.0017883378,1.4043329,62
87,0.52147484,0.0017788319,1.2514628,84
88,0.5143519,0.0017545345,1.1654733,97
89,0.51182425,0.0017459122,1.3568518,68
90,0.4948621,0.0016880517,1.3501159,72
91,0.4909711,0.0016747789,1.1773423,94
92,0.4812633,0.0016416642,1.0359433,112
93,0.4745112,0.0016186316,0.9222572,132
94,0.47101486,0.0016067051,1.2282137,87
95,0.46461412,0.0015848712,1.1767629,95
96,0.46134543,0.0015737212,1.0046407,119
