dimension,method,eer_mean,eer_std,accuracy_mean,accuracy_std,auc_mean,auc_std,delta_eer_mean,delta_eer_std
32,Gabor + PCA,8.687892657846884,0.2266629289382203,91.31210734215311,0.2266629289382155,0.9669677418723401,0.003284041434479813,0.0,0.0
32,Gabor + XPCA (Min-Max),8.79297761615148,0.4579487895385102,91.20702238384851,0.4579487895385116,0.9678037931271783,0.004171358439025319,0.10508495830459594,0.3310909565639649
32,Gabor + XPCA (Residual),7.6836917675089325,0.2861471203937447,92.31630823249107,0.2861471203937421,0.9717566680379074,0.0029489065082949685,-1.004200890337952,0.2503794684518053
32,Gabor + XPCA (Softmax),9.89441344284908,0.520093758013525,90.10558655715093,0.5200937580135201,0.9623805225497737,0.00509974951373613,1.2065207850021955,0.421634545975247
32,Gabor + XPCA (Sort Weights),16.605680606934605,0.5214519368295601,83.39431939306539,0.5214519368295615,0.915694563004944,0.004065587684210338,7.917787949087722,0.3907709506419538
32,Gabor + XPCA (Sort),7.179910966204775,0.35673008317017274,92.82008903379523,0.3567300831701698,0.973255377858387,0.0035978520170456985,-1.5079816916421094,0.20302818607032405
32,Raw PCA,10.307530252680419,0.6558786774247275,89.69246974731958,0.6558786774247332,0.9591147901007633,0.003084122840330776,0.0,0.0
32,Raw XPCA (Min-Max),14.630911028904634,0.7259039804760523,85.36908897109537,0.7259039804760588,0.9320736755725949,0.004961641073130414,4.323380776224217,0.742950407409402
64,Gabor + PCA,7.890325412251549,0.3920297901265362,92.10967458774844,0.3920297901265336,0.9707773278544873,0.0035990009224435874,0.0,0.0
64,Gabor + XPCA (Min-Max),8.452793278575458,0.36552340736514255,91.54720672142454,0.36552340736515254,0.9693855804400918,0.0039175374824778324,0.5624678663239079,0.3071837955001884
64,Gabor + XPCA (Residual),6.842059063264154,0.40503158566928754,93.15794093673586,0.40503158566929104,0.9755470405820992,0.0033747257033236314,-1.0482663489873967,0.15415472282969725
64,Gabor + XPCA (Softmax),9.609756097560975,0.5123085317385465,90.39024390243902,0.5123085317385461,0.9635522525611362,0.0051243215013973865,1.7194306853094248,0.30742499023227604
64,Gabor + XPCA (Sort Weights),16.577014232867263,0.468961244915353,83.42298576713273,0.46896124491536056,0.916357718520467,0.004142162967613888,8.686688820615716,0.38111186070695846
64,Gabor + XPCA (Sort),6.700206909524107,0.36485576103899586,93.2997930904759,0.36485576103899225,0.976012205245684,0.003373594719643028,-1.1901185027274435,0.0954444052292288
64,Raw PCA,9.649884005266788,0.3447487356418208,90.35011599473322,0.34474873564182,0.9633825866290264,0.003129760081144156,0.0,0.0
64,Raw XPCA (Min-Max),12.25135118189228,0.712466689033222,87.74864881810772,0.7124666890332244,0.9479885094715014,0.00529001545149356,2.601467176625494,0.5718229226822293
128,Gabor + PCA,7.415010345476203,0.4489261861314609,92.5849896545238,0.44892618613145596,0.9733616568666281,0.0035412168316301023,0.0,0.0
128,Gabor + XPCA (Min-Max),8.255865571509183,0.3241277714132752,91.74413442849081,0.324127771413276,0.9705277400983927,0.003956070751045515,0.8408552260329805,0.2188629622203618
128,Gabor + XPCA (Residual),6.224440403787069,0.54142127025136,93.77555959621293,0.5414212702513592,0.9784487776739577,0.0033737404487921507,-1.1905699416891338,0.19526211725589582
128,Gabor + XPCA (Softmax),9.496018559157312,0.46851630569510216,90.5039814408427,0.4685163056951019,0.9641414105020729,0.005101103943396898,2.08100821368111,0.26204661942401586
128,Gabor + XPCA (Sort Weights),16.56259326603549,0.4730389496083224,83.43740673396451,0.4730389496083218,0.9166846670102414,0.004123429188150339,9.147582920559286,0.46516865056635665
128,Gabor + XPCA (Sort),6.091265910088408,0.42284330344153775,93.90873408991159,0.422843303441541,0.9785164514328446,0.003644795011714006,-1.3237444353877954,0.1768140469015779
128,Raw PCA,9.307918991786318,0.44240895618219145,90.69208100821369,0.4424089561821916,0.9645939759813673,0.003294931473744065,0.0,0.0
128,Raw XPCA (Min-Max),10.745752084770205,0.5880906694270093,89.2542479152298,0.5880906694270065,0.9570847672076696,0.0040463589491289064,1.4378330929838872,0.606694088197714
256,Gabor + PCA,7.008389240704746,0.5604411912493151,92.99161075929526,0.5604411912493203,0.9752676974930763,0.0036699139897744914,0.0,0.0
256,Gabor + XPCA (Min-Max),8.093472945012225,0.38532583535792864,91.90652705498778,0.38532583535792836,0.9713946629271046,0.004125428449548756,1.0850837043074795,0.3276814318195882
256,Gabor + XPCA (Residual),5.5595209731017645,0.3942028402470757,94.44047902689825,0.39420284024707813,0.9806125963092723,0.003626437595986849,-1.4488682676029807,0.3114680828172605
256,Gabor + XPCA (Softmax),9.343532509875226,0.5061542159998956,90.65646749012478,0.5061542159998939,0.9646144813422051,0.005112060327303941,2.335143269170481,0.49082455201942116
256,Gabor + XPCA (Sort Weights),16.563496143958872,0.46779220415164924,83.43650385604113,0.46779220415164824,0.9167644385992546,0.004125074286695314,9.555106903254124,0.4204385795040705
256,Gabor + XPCA (Sort),5.435124459213746,0.45337335403008583,94.56487554078625,0.45337335403008866,0.9808274161695282,0.003498935933132186,-1.5732647814909988,0.22303502949035717
256,Raw PCA,9.288080757414257,0.5005322018418955,90.71191924258575,0.5005322018418963,0.9646323957614898,0.003166032492253346,0.0,0.0
256,Raw XPCA (Min-Max),10.167082575710074,0.43887180124125347,89.83291742428993,0.43887180124125974,0.9602494991810786,0.004272883053162177,0.8790018182958178,0.41799968169323676
512,Gabor + PCA,6.56522665997868,0.5662106066526436,93.43477334002132,0.5662106066526419,0.9768736070615329,0.0036188653357235503,0.0,0.0
512,Gabor + XPCA (Min-Max),7.7473195811649616,0.35072147248016244,92.25268041883504,0.3507214724801622,0.9727111763869285,0.003945712036831581,1.1820929211862812,0.279526949765531
512,Gabor + XPCA (Residual),4.833331243338142,0.4144593605568537,95.16666875666185,0.41445936055685145,0.9829987538938905,0.0034725789918838746,-1.7318954166405376,0.22030691574390485
512,Gabor + XPCA (Softmax),9.379672706752773,0.5785111961523334,90.62032729324723,0.578511196152328,0.964944077295159,0.005115188652071429,2.814446046774093,0.48791015409174326
512,Gabor + XPCA (Sort Weights),16.5621418270738,0.46964513582177975,83.4378581729262,0.469645135821777,0.9167539987368272,0.004141010319020975,9.99691516709512,0.41257536690817176
512,Gabor + XPCA (Sort),4.7699542291052754,0.353078170088137,95.23004577089472,0.35307817008814085,0.9834062021473937,0.003451503775273891,-1.7952724308734047,0.3589297765227302
512,Raw PCA,9.325299391811397,0.4006497785176874,90.6747006081886,0.40064977851768624,0.9645684570788902,0.003178546034693793,0.0,0.0
512,Raw XPCA (Min-Max),9.914728196125148,0.508617110452423,90.08527180387486,0.5086171104524275,0.9615804934325723,0.00426598170627703,0.5894288043137508,0.42323298653150826
1024,Gabor + PCA,6.403310552385728,0.5068181836161595,93.59668944761427,0.5068181836161543,0.9775222108275005,0.003515310265965186,0.0,0.0
1024,Gabor + XPCA (Min-Max),7.1533763872343075,0.3949174455060891,92.84662361276568,0.39491744550609065,0.9746063920209082,0.003956901425268714,0.7500658348485795,0.23561262008670614
1024,Gabor + XPCA (Residual),4.732961314188979,0.49216460981420074,95.26703868581103,0.4921646098141993,0.9839099329111543,0.0032566390556500982,-1.6703492381967486,0.3033407540668825
1024,Gabor + XPCA (Softmax),9.325575271176875,0.6200599039060253,90.67442472882313,0.6200599039060302,0.9650826291731723,0.005107685130338345,2.922264718791147,0.45418953781595406
1024,Gabor + XPCA (Sort Weights),16.5644742617092,0.46904161361527563,83.4355257382908,0.4690416136152699,0.9167540459605235,0.004141228286161789,10.161163709323471,0.408424024965528
1024,Gabor + XPCA (Sort),4.6649445106276275,0.5257720743579148,95.33505548937237,0.5257720743579133,0.9843115552775693,0.0032780613422561684,-1.7383660417580997,0.33969465584484104
1024,Raw PCA,9.411925512571319,0.3533837362573844,90.58807448742868,0.353383736257385,0.964463819889312,0.0031680121200988454,0.0,0.0
1024,Raw XPCA (Min-Max),9.814558906514513,0.5762326838987948,90.18544109348548,0.576232683898796,0.9625471703249229,0.004233714775379445,0.4026333939431936,0.3922779826020653
