dimension,method,eer
32,Raw PCA,10.646653783908686
32,Gabor + PCA,9.59783312724489
32,Gabor + XPCA (Optimized Residual),9.583647818941934
64,Raw PCA,9.90125597968735
64,Gabor + PCA,8.53393500452324
64,Gabor + XPCA (Optimized Residual),8.676055734879268
128,Raw PCA,9.433319237240804
128,Gabor + PCA,8.009524676191344
128,Gabor + XPCA (Optimized Residual),7.992038384195246
256,Raw PCA,9.319925986592652
256,Gabor + PCA,7.584143858653664
256,Gabor + XPCA (Optimized Residual),7.787912689873476
512,Raw PCA,9.256404354443573
512,Gabor + PCA,7.043763906509007
512,Gabor + XPCA (Optimized Residual),7.137975765426745
