Comparison,t_statistic,p_value,Bonferroni_Threshold,Statistically_Significant,Cohens_d
16 vs 32,16.478163002230293,1.0421939081790252e-12,0.005,Yes,3.684629261730895
32 vs 64,14.082794013560846,1.6610079944489947e-11,0.005,Yes,3.149008472744915
64 vs 128,4.295700575804651,0.00039018112952298974,0.005,Yes,0.9605478498484188
128 vs 256,4.879711721970469,0.00010406060340335872,0.005,Yes,1.091136712092852
256 vs 512,1.3772800374331002,0.18443590811752103,0.005,No,0.3079691787753867
16 vs 512,35.2297043251269,8.99582614152047e-19,0.005,Yes,7.87760136982021
32 vs 512,18.79697080289757,9.806309466083514e-14,0.005,Yes,4.203130448635776
64 vs 512,7.844459696454534,2.2406407170808331e-07,0.005,Yes,1.7540745128029702
128 vs 512,4.960625079000377,8.681183666275009e-05,0.005,Yes,1.1092294887535106
256 vs 512,1.3772800374331002,0.18443590811752103,0.005,No,0.3079691787753867
