sample_index,components,mse,psnr,ssim
1,16,0.016899008,17.721388,0.13572036683533759
1,32,0.016149063,17.918528,0.15982284527197171
1,64,0.015439086,18.113785,0.19572678976232422
1,128,0.014864432,18.278519,0.2283560123998065
1,256,0.014206382,18.475166,0.276895937389633
1,512,0.01361385,18.66019,0.32889454910399146
2,16,0.014293006,18.448765,0.09150562276953494
2,32,0.0132795395,18.76817,0.12513147283886406
2,64,0.012569575,19.006794,0.14750023675113672
2,128,0.011918478,19.237793,0.18376166333385227
2,256,0.011416875,19.424528,0.22047892964159468
2,512,0.010548856,19.767946,0.30353788931933207
3,16,0.014443237,18.403355,0.2082238598448544
3,32,0.014417497,18.4111,0.20206120371694195
3,64,0.013950538,18.55409,0.22209797010702134
3,128,0.013537614,18.68458,0.25127299424582367
3,256,0.013124208,18.81927,0.29310529990968526
3,512,0.01273517,18.949951,0.348805257821861
